
══════════════════════════════════════════════════════════════════════
  🤖 SOLANA-GRID-BOT V0.2.5 - PROJECT FLASH
══════════════════════════════════════════════════════════════════════

  💪 Built with Rust for MAXIMUM PERFORMANCE!
  🎯 Production-ready for Solana DEX trading
  🔥 Dynamic Grid • Multi-Strategy • Real-time Risk Management

  📦 Version:     0.2.5
  🏗️  Build:       2025-10-17 (dev)
  🦀 Rust:        1.70

══════════════════════════════════════════════════════════════════════


═══════════════════════════════════════════════════════════════════════════
     🚀 PROJECT FLASH V3.5 - PRODUCTION GRID TRADING BOT
     ⚡ Hybrid Feeds • 10Hz Cycles • Real-Time Analytics
═══════════════════════════════════════════════════════════════════════════

   Environment: PRODUCTION | Version: 3.5.0
═══════════════════════════════════════════════════════════════════════════


══════════════════════════════════════════════════════════════════════════════
  🤖 PROJECT FLASH V3.5 - CONFIGURATION
══════════════════════════════════════════════════════════════════════════════

📋 BOT: Balanced-Bot-v3.5 v3.5.0 [production]

📈 TRADING:
   Grid:             35 levels @ 0.150%
   Order Size:       0.1 SOL
   Auto-Rebalance:   ✅
   Smart Rebalance:  ✅
   Reserves:         $300 USDC + 2.0 SOL

🆕 MARKET INTELLIGENCE:
   Regime Gate:      ✅ (min vol: $0.30)
   Pause Low Vol:    ❌

🔄 ORDER LIFECYCLE:
   Enabled:          ✅
   Refresh:          Every 5min
   Min Orders:       8
   Max Age:          10min

🎯 STRATEGIES:
   Active:           grid
   Mode:             single

🛡️  RISK MANAGEMENT:
   Max Position:     30%
   Max Drawdown:     10.0%
   Stop Loss:        5.0%
   Take Profit:      10.0%
   Circuit Breaker:  ✅ (8.0%)

══════════════════════════════════════════════════════════════════════════════


Cycle    1/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    2/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    3/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    4/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    5/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    6/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    7/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    8/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle    9/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   10/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   11/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   12/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   13/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   14/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   15/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   16/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   17/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   18/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   19/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   20/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   21/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   22/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   23/600  ➡️ | SOL $ 185.5117 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   24/600  ➡️ | SOL $ 185.5115 (-0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   25/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   26/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   27/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   28/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   29/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   30/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   31/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   32/600  ➡️ | SOL $ 185.5115 (-0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   33/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   34/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   35/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   36/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   37/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   38/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   39/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   40/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   41/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   42/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   43/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   44/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   45/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   46/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   47/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   48/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
Cycle   49/600  ➡️ | SOL $ 185.5115 (+0.000%) | Vol:  0.00% | ✓ Grid stable
